epochs,accuracy,val_accuracy,recall,val_recall,precision,val_precision
1,0.7038,0.755,0.5617,0.6878,0.6386,0.6808
2,0.7739,0.7675,0.7224,0.7358,0.7068,0.6852
3,0.8166,0.788,0.7872,0.7953,0.755,0.6977
4,0.853,0.8005,0.8323,0.8433,0.8003,0.7008
5,0.8825,0.8215,0.8695,0.8718,0.8367,0.7229
6,0.9112,0.8445,0.9081,0.9093,0.8707,0.7444
7,0.9305,0.8685,0.9348,0.9378,0.8928,0.771
8,0.9482,0.878,0.9521,0.9262,0.9186,0.7927
9,0.9539,0.8815,0.9552,0.9339,0.9292,0.7949
10,0.9622,0.8805,0.9662,0.9249,0.9391,0.7978
